| time |reset|ARegister|DRegister|PC[]|RAM16K[0]|RAM16K[1]|RAM16K[2]|
| 94   |  0  |      18 |      -3 |  10|       0 |       0 |       0 |
| 95   |  0  |      16 |      -3 |  11|       0 |       0 |       0 |
| 96   |  0  |      16 |       7 |  12|       0 |       0 |       0 |
| 97   |  0  |      17 |       7 |  13|       0 |       0 |       0 |
| 98   |  0  |      17 |       7 |  14|       0 |       0 |       0 |
| 99   |  0  |      16 |       7 |  15|       0 |       0 |       0 |
| 100  |  0  |      16 |       7 |  16|       0 |       0 |       0 |
| 101  |  0  |       4 |       7 |  17|       0 |       0 |       0 |
| 102  |  0  |       4 |       7 |   4|       0 |       0 |       0 |
| 103  |  0  |      16 |       7 |   5|       0 |       0 |       0 |
| 104  |  0  |      16 |       8 |   6|       0 |       0 |       0 |
| 105  |  0  |      10 |       8 |   7|       0 |       0 |       0 |
| 106  |  0  |      10 |      -2 |   8|       0 |       0 |       0 |
| 107  |  0  |      18 |      -2 |   9|       0 |       0 |       0 |
| 108  |  0  |      18 |      -2 |  10|       0 |       0 |       0 |
| 109  |  0  |      16 |      -2 |  11|       0 |       0 |       0 |
| 110  |  0  |      16 |       8 |  12|       0 |       0 |       0 |
| 111  |  0  |      17 |       8 |  13|       0 |       0 |       0 |
| 112  |  0  |      17 |       8 |  14|       0 |       0 |       0 |
| 113  |  0  |      16 |       8 |  15|       0 |       0 |       0 |
| 114  |  0  |      16 |       8 |  16|       0 |       0 |       0 |
| 115  |  0  |       4 |       8 |  17|       0 |       0 |       0 |
| 116  |  0  |       4 |       8 |   4|       0 |       0 |       0 |
| 117  |  0  |      16 |       8 |   5|       0 |       0 |       0 |
| 118  |  0  |      16 |       9 |   6|       0 |       0 |       0 |
| 119  |  0  |      10 |       9 |   7|       0 |       0 |       0 |
| 120  |  0  |      10 |      -1 |   8|       0 |       0 |       0 |
| 121  |  0  |      18 |      -1 |   9|       0 |       0 |       0 |
| 122  |  0  |      18 |      -1 |  10|       0 |       0 |       0 |
| 123  |  0  |      16 |      -1 |  11|       0 |       0 |       0 |
| 124  |  0  |      16 |       9 |  12|       0 |       0 |       0 |
| 125  |  0  |      17 |       9 |  13|       0 |       0 |       0 |
| 126  |  0  |      17 |       9 |  14|       0 |       0 |       0 |
| 127  |  0  |      16 |       9 |  15|       0 |       0 |       0 |
| 128  |  0  |      16 |       9 |  16|       0 |       0 |       0 |
| 129  |  0  |       4 |       9 |  17|       0 |       0 |       0 |
| 130  |  0  |       4 |       9 |   4|       0 |       0 |       0 |
| 131  |  0  |      16 |       9 |   5|       0 |       0 |       0 |
| 132  |  0  |      16 |      10 |   6|       0 |       0 |       0 |
| 133  |  0  |      10 |      10 |   7|       0 |       0 |       0 |
| 134  |  0  |      10 |       0 |   8|       0 |       0 |       0 |
| 135  |  0  |      18 |       0 |   9|       0 |       0 |       0 |
| 136  |  0  |      18 |       0 |  10|       0 |       0 |       0 |
| 137  |  0  |      16 |       0 |  11|       0 |       0 |       0 |
| 138  |  0  |      16 |      10 |  12|       0 |       0 |       0 |
| 139  |  0  |      17 |      10 |  13|       0 |       0 |       0 |
| 140  |  0  |      17 |      10 |  14|       0 |       0 |       0 |
| 141  |  0  |      16 |      10 |  15|       0 |       0 |       0 |
